Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
3SJCH02xvodC1H451T3Cv6,Off Air,3.44,Night Lovell,12/22/2014,2014,night
50ho9XMsCItyWK1c7dfagr,Nightfall,3.91,Xandria,5/5/2014,2014,night
4mgjS0o2JC2sukrSM2zDUo,Last Night,3.13,The Vamps,11/4/2014,2014,night
1bBOnlB09H1DzZD54RFgdP,Nightcore This (feat. Tamika),3.83,"S3RL, Tamika",7/9/2014,2014,night
699PxQxktBC84UNfSSQayd,Up All Night,4,Cannons,9/1/2014,2014,night
6vi4sU6GhFppK6cEZhsgYF,Before the Night,3.89,Home,12/28/2014,2014,night
2wRfmI3v2REarKJFzuzO46,Night City,5.72,Vogel,2/17/2014,2014,night
5v5VI3KSgrnDPHNGT6EoaP,Concept Nothing,4.15,Night Lovell,12/22/2014,2014,night
2ILrPvvwHi9cLCgN1JlYUi,Relaxing Night Rain,7.46,Rain Sounds,8/8/2014,2014,night
3mdQtezZP13tOtE5G4cwl7,"Night Light - Ocean Mix, Pt. 1",5.49,Liquid Mind,9/30/2014,2014,night
3o2UehPqbk9qC1pmYMxQDt,Nights,5.84,Xpressive Records,2/23/2014,2014,night
32EFr4UHZuJsWN1mp2T8GC,Push The Feeling,3.61,"Nightcrawlers, DJ S.K.T",7/16/2014,2014,night
3FHbiu4Gd69PB3cEBkqWlr,Frogs at Night,9.83,Tmsoft’s White Noise Sleep Sounds,8/20/2014,2014,night
1cTvewqiAuCTt9fvDxkDn3,Rock the Night,4.96,"Tribal Seeds, Maad T-Ray",5/13/2014,2014,night
3RcdfqhNwDvwgOPE6c0TRc,Night After Night,3.95,Rogue,7/9/2014,2014,night
5Z2gIlGW3YwlOuxHUvDCSH,Every Night,3.1,Florida Georgia Line,10/14/2014,2014,night
2rc5d4JWhkUAqC6V26Apcf,Blood Drain -Again- (Eltnum Theme),3.8,来兎,9/14/2014,2014,night
7qrXQVznkh7TZmUorSMSPl,Goodnight - Lullaby Version,3.34,The Laurie Berkner Band,4/8/2014,2014,night
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",4.05,"Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard",6/10/2014,2014,remix
0zVMzJ37VQNFUNvdxxat2E,Flawless Remix (feat. Nicki Minaj),3.91,"Beyoncé, Nicki Minaj",11/24/2014,2014,remix
